"ind_ID";"ind_gender";"ind_age";"ind_edu";"ind_happy";"ind_atwork";"ind_income";"hh_pos";"hh_nadult";"hh_nchild";"hh_income";"health_fys";"health_emo";"leis_time"
23306;1;35;1;39;1;2300;1;1;0;2300;60;78;7
23309;1;70;1;76;0;1200;2;2;0;1200;93;73;40
23311;1;55;2;52;1;1750;1;2;0;1868;0;32;25
23313;1;61;1;86;0;2357;2;2;0;3227;97;82;80
23402;1;25;2;55;1;1260;-;2;0;2770;100;82;6
23404;1;40;2;19;0;1420;1;1;0;1420;11;25;14
23407;1;69;1;85;0;960;2;2;0;1525;100;85;20
23408;1;61;3;74;1;2700;2;2;0;2700;100;92;1
23409;2;69;1;66;0;1152;1;1;0;1759;97;80;30
23411;1;35;2;69;1;1286;2;2;1;2132;100;82;20
23501;1;78;3;63;0;1999;2;2;0;3998;93;80;5
23506;1;47;3;67;1;2000;2;3;0;5000;97;80;50
23508;1;42;2;70;1;1300;2;2;4;3097;52;63;40
23510;1;44;2;66;1;1900;1;1;0;1900;100;80;50
23512;1;68;2;79;0;2000;2;2;0;4000;93;80;40
23513;1;56;1;72;1;1600;2;2;0;1600;100;87;60
23601;2;65;1;78;0;1350;1;1;0;1350;100;92;35
23602;2;50;2;77;1;1400;2;2;0;2950;100;80;40
23603;1;75;3;92;0;2500;2;2;0;5000;100;90;20
23611;1;78;1;40;0;1200;1;1;0;1200;23;77;30
23612;2;79;2;50;0;1450;1;1;0;1450;83;82;60
23701;1;77;1;62;0;730;1;1;0;730;100;82;42
23705;1;70;3;92;0;5000;2;2;0;7522;100;87;50
23709;1;43;2;77;1;2100;2;2;2;3883;90;80;14
23711;2;43;2;78;1;1250;2;3;1;3083;89;87;40
23802;1;68;2;68;0;1450;1;1;0;1850;90;75;50
23803;1;52;3;80;1;3100;1;1;2;3429;100;90;14
23806;1;46;1;69;0;1320;1;1;0;1320;11;62;56
23904;1;50;1;77;1;1630;2;2;1;2644;100;78;18
23909;2;36;3;73;1;1500;1;1;1;1606;100;62;10
23910;2;40;2;70;1;1650;2;2;2;4413;93;82;10
23911;2;79;1;90;0;1400;2;2;0;3300;3;82;75
24003;1;29;3;83;1;2700;2;2;1;4480;100;78;20
24005;2;49;2;76;0;1500;1;2;1;1833;11;75;14
24101;1;81;1;66;0;1500;2;2;0;1500;23;73;35
24102;2;42;2;52;1;1260;1;2;0;1260;7;55;30
24105;2;46;2;4;0;1400;1;2;0;1518;8;15;10
24107;1;40;3;58;1;2500;1;1;2;2829;100;82;8
24108;2;40;3;91;1;3000;2;2;4;12176;86;63;7
24109;2;41;2;62;1;1800;2;3;1;3826;19;73;6
24111;1;27;3;74;1;1750;1;1;0;1750;90;73;18
24202;2;63;1;77;0;900;2;2;0;3150;86;37;28
24203;1;79;1;71;0;1400;2;2;0;1430;17;58;14
24206;2;64;1;89;0;1100;2;2;0;2400;21;78;10
24207;2;40;2;73;1;1800;1;1;2;2113;19;67;25
24210;2;62;1;75;0;1140;2;2;0;2436;89;87;40
24211;2;39;2;65;1;1320;1;1;2;1633;100;85;8
24301;1;70;1;75;0;1250;1;1;0;1250;56;37;21
24307;2;51;2;63;1;1250;1;1;1;1364;97;78;4
24406;1;39;3;54;1;5000;2;2;2;7773;100;47;10
24412;2;39;2;91;1;1100;2;2;1;3490;100;90;10
24501;1;31;3;71;1;2050;2;2;2;4317;100;62;10
24503;2;56;2;59;0;1100;1;2;0;1218;86;70;40
24505;1;35;2;38;1;1800;1;1;0;1800;-;-;15
24506;2;79;1;81;0;150;2;2;0;150;12;65;25
24509;2;54;1;77;1;800;2;3;0;2723;93;75;28
24512;2;31;2;91;1;1300;1;1;2;1573;100;83;4
24604;2;48;2;63;1;2200;1;2;0;2318;0;88;5
24607;1;27;3;74;1;1600;2;2;0;3450;97;78;30
24609;2;26;3;74;1;1400;2;2;0;1400;89;75;40
24610;2;47;3;79;1;1030;1;1;2;1359;59;55;46
24701;2;33;2;89;1;1800;2;2;0;3700;74;63;17
24702;2;71;2;75;1;1950;2;2;0;4050;100;87;48
24703;2;68;1;79;0;87;2;2;0;2287;100;85;35
24707;2;58;3;66;1;1250;2;2;0;1250;80;95;1
24802;1;79;3;83;0;1950;2;2;0;1950;83;82;12
24803;1;65;1;81;0;2600;2;2;0;5200;97;80;50
24808;1;71;1;71;0;1500;1;1;0;1500;100;73;7
24809;2;43;3;87;1;1500;1;1;1;1606;97;82;4
24811;2;49;2;79;1;1900;2;2;0;3600;60;67;51
24812;2;53;2;65;1;1500;1;3;0;1618;12;28;1
24903;1;40;2;62;1;1700;2;2;1;3475;40;75;4
24904;2;68;3;70;0;3000;2;2;0;6000;8;63;10
24908;2;61;3;78;1;1225;2;2;0;2925;97;80;24
24909;1;60;3;53;1;4500;2;2;0;6800;97;72;30
24914;1;36;3;73;1;2000;2;2;1;2090;67;90;12
25011;1;80;1;83;0;1804;2;2;0;3608;50;88;32
25101;2;22;2;69;1;1190;2;2;0;2340;100;67;20
25103;2;21;-;72;1;370;3;3;0;2878;100;75;14
25104;1;50;1;74;1;1400;2;2;0;2406;45;77;20
25105;1;56;3;81;1;2500;2;3;0;5668;100;100;15
25107;1;53;2;66;1;1200;3;3;0;2800;47;73;20
25202;1;19;-;65;1;580;3;2;0;2480;97;80;48
25208;2;35;2;78;1;1510;2;2;2;1783;100;70;14
25209;2;42;3;52;1;1600;1;1;3;2210;23;58;10
25210;1;74;2;84;0;1640;2;2;0;7140;74;88;60
